Date,Author,Title,Hyperlink,DDC
1908,"de Witt Hyde, William",Self-Measurement: A Scale of Human Values with Directions for Personal Application,https://archive.org/details/selfmeasurement04hydegoog/page/n8/mode/1up,ESSA
1909,"Croce, Benedetto",Aesthetic: As Science of Expression and General Linguistic,,ESSA
1910,"Lankester, Sir Ray",Science From an Easy Chair,,SCIE
1911,"de Witt Hyde, William",The Five Great Philosophies of Life,https://archive.org/details/in.ernet.dli.2015.88615,ESSA
1912,"Chesterton, G. K.",Manalive,,ESSA
1913,"Gorky, Maxim",Autobiography of Maxim Gorky,,BIOG
1913,"de Witt Hyde, William","The Quest of the Best: Insights Into Ethics for Parents, Teachers and Leaders of Boys",https://archive.org/details/questbestinsigh00hydegoog/page/n3/mode/1up,ESSA
1913,"de Witt Hyde, William","The Quest of the Best Insights into Ethics for Parents, Teachers, and Leaders of Boys",,ESSA
1913,"Croce, Benedetto",The Philosophy of Giambattista Vico,,PHIL
1914,"Gardiner, A. G.","Prophets, Priests, and Kings",,ESSA
1914,"Joyce, James",Dubliners,,LITE
1915,"Croce, Benedetto",What is living and what is dead of the philosophy of Hegel,,ESSA
1915,"Conrad, Joseph (arranged by Harriet M. Capes)",Wisdom and Beauty from Conrad: An Anthology,,LITE
1916,"de Witt Hyde, William",Are you human?,https://archive.org/details/areyouhuman00hyderich,ESSA
1918,"Cather, Willa",My Antonia,,LITE
1923,"Chesterton, G. K.",St. Francis of Assisi,,BIOG
1923,"Gibran, Kahlil",The Prophet,,LITE
1925,"Hendrick, Burton J.",The Life and Letters of Walter H. Page,,LETT
1925,"Gorky, Maxim",The Artamonovs,,LITE
1926,"Ford, Henry",The Great To-Day and Greater Future,,ECON
1927,"Dunne, J. W.",An Experiment with Time,,ESSA
1928,Ilf & Petrov,The Twelve Chairs,,LITE
1930,"Kant, Immanuel",Lectures on ethics ,,PHIL
1933,"Housman, A. E.",The Name and Nature of Poetry,,POET
1939,"Chesterton, G. K.","Stories, Essays, & Poems",,COLL
1939,"Ellis, Havelock","Thinker's Library [74]: Morals, Manners, and Men",,ESSA
1939,"Joyce, James",Finnegans Wake,,LITE
1941,"Kierkegaard, Søren",Training in Christianity and the Edifying Discourse which 'Accompanied' It,,PHIL
1944,"Joyce, James",Stephen Hero,,LITE
1946,"De La Mare, Walter",Collected Poems,,POET
1947,"Frye, Northrop",A Fearful Symmetry,,CRIT
1948,"Berenson, Bernard",Aesthetics and History,https://archive.org/details/in.ernet.dli.2015.166094,ESSA
1949,"Forster, E. M.",Aspects of the Novel,,CRIT
1950,"Esmond, Henry; Thackeray, W. M. (ed)","The History of Henry Esmond, Esq.",,BIOG
1953,"Abrams, M. H.",The Mirror and the Lamp: Romantic Theory and the Critical Tradition,https://archive.org/details/mirrorlampromant00abrarich/page/7/mode/1up,CRIT
1955,"Joyce, James",Ulysses,,LITE
1958,"Lewis, C. S.",The Allegory of Love,https://archive.org/details/allegoryofloveby0000csle,CRIT
1964,"Kafka, Franz",The Diaries of Franz Kafka,,LETT
1964,"Joyce, James",A Portrait of the Artist as a Young Man,,LITE
1966,"Bulgakov, Mikhail",Master and Margarita,https://archive.org/details/mastermargarita0000unse,LITE
1966,"Leopardi, Giacomo",Selected Prose and Poetry,,POET
1968,"Clausewitz, Carl von",On War,,MILI
1969,"Kojeve, Alexandre; (Assembled by Bloom, Allan)",Introduction to the Reading of Hegel: Lectures on the Phenomology of Spirit,,PHIL
1971,"Frye, Northrop",Anatomy of Criticism; Four Essays,https://archive.org/details/anatomyofcritici00fryerich,CRIT
1971,"Grossmith, George and Weedon",The Diary of a Nobody,,LITE
1971,"Kierkegaard, Søren",Concluding Unscientific Postscript,,PHIL
1975,"Joyce, James",Selected letters of James Joyce,,LETT
1976,"Derrida, Jacques",Of Grammatology,,LING
1977,"Horne, Alistair","A Savage War of Peace: Algeria, 1954-1962",,HIST
1979,"Hofstadter, Douglas R.","Gödel, Escher, Bach: an Eternal Golden Braid",,ESSA
1983,"Karnow, Stanley",Vietnam: A History,,HIST
1985,"Garraty, John A.; Gay, Peter (Ed.)",The University History of the World,,HIST
1985,"Kundera, Milan",The Unbearable Being of Lightness,,LITE
1987,"Gleick, James",Chaos,,HIST
1992,"Kierkegaard, Søren",Either/Or; A Fragment of Life,,PHIL
1993,"Dunn, Stephen",Looking for Holes in the Ceiling,,POET
1994,"Kissinger, Henry",Diplomacy,,HIST
2002,"Jenkins, Roy",Churchill: A Biography,,BIOG
2005,"Jackson, H. J.",Romantic Readers: the Evidence of Marginalia,,CRIT
