Date,Author,Title,Link
1898,"Gell, Lyttelton (compiled by)",The More Excellent Way: Words of the Wise on The Life of Love: A Sequence of Meditations,
1891,"George, Henry",The Condition of Labour: An Open Letter to Pope Leo XIII,
1893,"George, Henry","A Perplexed Philosopher... being An Examination of Mr. Herbert Spencer's Various Utterances on the Land Question, with Some Incidental Reference to His Synthetic Philosophy",
1950,"Gibbon, Edward",Autobiography of Edward Gibbon,
1970,"Gibbon, Edward",The Decline and Fall of the Roman Empire,
1998,"Gibran, Kahlil",The Prophet,
1932,"Gilbert, W. S.",The Best Known Works of W. S. Gilbert,
2011,"Gilmour, David",The Pursuit of Italy,
1885,"Gladman, F. J.","School Work: Control and Teaching, Organisation and Principles of Education",
1995,"Glantz, David M.",When titans clashed,
1987,"Gleick, James",Chaos,
2011,"Gleick, James","The Information: A History, a Theory, a Flood",
1949,"Goethe, Johann Wolfgang von",Faust I,
1949,"Goethe, Johann Wolfgang von",Faust II,
1970,"Goethe, Johann Wolfgang von",Faust,
1998,"Goethe, Johann Wolfgang von",Maxims and Reflections,
1956,"Goffman, Erving",The presentation of self in everyday life,
1842,Gogol,Dead Souls,
1925,"Gogol, Nikolai Vasilevich",Taras Bulba,
1972,"Gogol, Nikolai Vasilevich",Diary of a Madman; The Nose; The Overcoat; How Ivan Ivanovich Quarrelled with Ivan Nikiforovich; Ivan Fyodorovich Shponka and his Aunt,
1911,"Goldsmith, Oliver","The Lives of ""Beau"" Nash and others (Macaulay, Parnell, Bolingbroke)",
1952,"Gorky, Maxim",The Artamonovs,
1973,"Gorky, Maxim",The Lower Depths,
1913–1914,"Gorky, Maxim",Autobiography of Maxim Gorky,
1955,"Graves, Robert; Hodge, Alan",The Reader Over Your Shoulder: A Handbook for Writers of English Prose,
1895,"Green, John Richard",A Short History of the English People,
1946,"Grierson, John",Grierson on documentary,
1971,"Grossmith, George and Weedon",The Diary of a Nobody,
1916,"Guerber, H. A.",The Myths of Greece and Rome,
1980,"Gunston, Bill",An Illustrated Guide to Modern Fighters and Attack Aircraft,
1910,"Hadden, J. Cuthbert","Master Musicians: a book for Players, Singers, & Listeners",
1901,"Hamilton, Alexander; Madison, James; Jay, John",The Federalist: I,
1901,"Hamilton, Alexander; Madison, James; Jay, John",The Federalist: II,
1958,"Hans, Jonas",The Gnostic Religion,
1959,"Harris, C. C.",Introductory Exercises in Comprehension and Expression,
1903,Harrison,Platonism in English Poetry of the Sixteenth and Seventeenth Century,
1898,"Harrison, Frederic",Oliver Cromwell,
1930,"Hart, Liddell",History of the First World War,
1948,"Hawthorne, Nathaniel",Portable Hawthorne,
1988,"Hawthorne, Nathaniel",The Blithedale Romance,
1999,"Hawthorne, Nathaniel",The Scarlet Letter,
1903,"Hazlitt, William","Lectures on the English Comic Writers (On Wit andn Humour; On Shakespeare and Ben Jonson; On Cowley, Butler, Suckling, Etherege, etc.; On Wycherley, Congreve, Vanbrugh, and Farquhar; On the periodical essayists; On the English novelists; On the works of Hogarth; On the Comic writers of the last century)",
1998,"Heaney, Seamus",Opened Ground: Poems 1966-1996,
1952,"Heffner, Richard D.",A documentary History of the United States: An Expanded Edition,
1918,"Hegel, Georg Wilhelm Friedrich",Phenomenology of Spirit,
1952,"Hegel, Georg Wilhelm Friedrich",Great Books of the Western World [46]: The Philosophy of Right; The Philosophy of History,
1845,"Heidegger, Martin",Basic writings from 'Being and time' (1927) to 'The task of thinking' (1964),
1955,"Heller, Joseph",Catch 22,
1982,"Heller, Mikhail & Nekrich, Aleksandr",Utopia in Power: The History of the Soviet Union from 1917 to the Present,
1925,"Hendrick, Burton J.",The Life and Letters of Walter H. Page,
1846,"Herbert, George",The Works of George Herbert in Prose and Verse,
1954,Herodotus,The Histories,
2007,Herodotus,The Landmark Herodotus,
1979,"Herring, George C",America's longest war,
1994,"Herring, George C",LBJ and Vietnam: a different kind of war,
1954,"Herrmann, Paul",Conquest by Man: The Saga of Early Exploration and Discovery,
1924,"Herzen, Alexander",The Memoirs of Alexander Herzen: Volume I,
1924,"Herzen, Alexander",The Memoirs of Alexander Herzen: Volume II,
1500,Hesiod,Theogony and works and days,
1969,"Hitler, Adolf",Mein Kampf,
2014,"Hobbes, Thomas",Leviathan,
1979,"Hofstadter, Douglas R.","Gödel, Escher, Bach: an Eternal Golden Braid",
1948,"Hofstadter, Richard",The American political tradition and the men who made it,
Old,"Holmes, O. W.",The Autocrat of the Breakfast Table,
1861,"Holmes, Oliver Wendell",Elsie Venner,
1969,Homer,The Iliad,
2011,Homer,The Odyssey,
1715,"Homer (Pope, Alexander)",The Iliad,
2015,"Hooper, John",The Italians,
1964,Horace,Odes of Horace,
1977,"Horne, Alistair","A Savage War of Peace: Algeria, 1954-1962",
1971,"Horne, Donald",The Lucky Country,
2015,"Houellebecq, Michel",Submission,
1933,"Housman, A. E.",The Name and Nature of Poetry,
1875,Hugh Heron,Sacred Biography and History: Exploration in the Holy Land,
1976,"Hugo, Victor",Les Miserables,
1866,"Hugo, Victor",Toilers of the Sea,
1831,"Hugo, Victor",The Hunchback of Notre-Dame,
2011,"Hume, David",The Essential Philosophical Works,
1999,"Husband, William",Godless communists,
1923,"Huxley, Aldous",On The Margin: Notes and Essays,
1962,"Huxley, Aldous",Island,
1969,"Huxley, Aldous",Brave New World and Brave New World Revisited,
1982,"Huxley, Aldous",The Genius and the Goddess,
1908,"Huxley, T. H.",Collected Essays,
1905,"Hyde, Lilian Stoughton",Favourite Greek Myths,
1988,Ilf & Petrov,The Twelve Chairs,
1983,Indo-Soviet Symposium on Problems of Secularization,Secularization in multi-religious societies,
1835,"Isaacson, Walter",The Wise Men,
1967,"Jackson, Eugene",Russian Made Simple,
2005,"Jackson, H. J.",Romantic Readers: the Evidence of Marginalia,
1919,"James, Henry","Selected Short Stories (Last of the Valerii, The Real Thing, The Lesson of the Master, Daisy Miller)",
2002,"Jenkins, Roy",Churchill: A Biography,
1898,"Jerome, Jerome K.",The Second Thoughts of An Idle Fellow,
1944,"Joad, C. E. M.",Philosophy,
1959,"Johnson, Samuel","Rasselas, Poems, and Selected Prose (including letters and biographies)",
1807,"Joyce, James",Stephen Hero,
1914,"Joyce, James",Dubliners,
1939,"Joyce, James",Finnegans Wake,
1955,"Joyce, James",Ulysses,
1964,"Joyce, James",A Portrait of the Artist as a Young Man,
1975,"Joyce, James",Selected letters of James Joyce,
1979,"Joyce, James",Exiles: A Play in Three Acts,
1993,"Joyce, James",Ulysses,
1946,"Jung, C. G.","Essays on contemporary events, 1936-1946",
1964,"Jung, Carl",Man and His Symbols,
1964,"Kafka, Franz",The Diaries of Franz Kafka,
1968,"Kafka, Franz",The Trial,
2014,"Kafka, Franz","The Trial, The Castle, Metamorphosis and other stories",
1898,"Kant, Immanuel",Fundamental Principles of the Metaphysic of Morals; Critical Examination of Practical Reason; Elements of Pure Practical Reason ; First Part of the Philosophical Theory of Religion,
1952,"Kant, Immanuel",Great Books of the Western World [42]: The Critique of Pure Reason; The Critique of Practical Reason; Preface/introductrion to Metaphysical Elements of Ethics; General Introduction to the Metaphysic of Morals; The Science of Right; The Critique of Judgement,
1977,"Kant, Immanuel","Lectures on ethics (1930, N. Y.: Century, 253 p.)",
1991,"Kant, Immanuel",Political Writings,
2009,"Kant, Immanuel",Fundamental Principles of the Metaphysic of Morals,
1983,"Karnow, Stanley",Vietnam: A History,
1817,"Keats, John",The Complete Poems of John Keats,
1908,"Keats, John (Ed. by Forman, H. B.)",The Poetical Works of John Keats,
1984,"Kelly, Paul",The Hawke Ascendancy,
1418–1427,"Kempis, Thomas A",The Imitation of Christ,
1870,"Kennan, George",Tent Life in Siberia,
1980,"Kennedy, Ludovic",A Book of Railway Journeys: An anthology,
n.d.,"Kerr, John",Leaves from an inspector's logbook,
1973,"Kesey, Ken",One Flew Over the Cuckoo's Nest,
2006,"Khalidi, Rashid",The Iron cage: the story of the Palestinian...,
~700 BCE,"Kharms, Daniil",The Man with the Black Coat,
1859,"Khayyam, Omar",The Rubaiyat of Omar Khayyam,
1949,"Khoestler, Arthur",The God that Failed,
1941,"Kierkegaard, Søren",Training in Christianity and the Edifying Discourse which 'Accompanied' It,
1971,"Kierkegaard, Søren",Concluding Unscientific Postscript,
1992,"Kierkegaard, Søren",Either/Or; A Fragment of Life,
1901,"Kingston, Alfred",The Romance of A Hundred Years: Remarkable chapters in the social and public life of the nineteenth century,
1877,"Kingston, W. H. G.",Clara Maynard or True & False,
1994,"Kissinger, Henry",Diplomacy,
1866,"Knight, Charles (Ed.)",Half Hours with the Best Authors: Volume I,
1866,"Knight, Charles (Ed.)",Half Hours with the Best Authors: Volume II,
1997,"Koenker, Diane",Revelations from the Russian archives,
1947,"Koestler, Arthur",Darkness at Noon,
1969,"Kojeve, Alexandre; (Assembled by Bloom, Allan)",Introduction to the Reading of Hegel: Lectures on the Phenomology of Spirit,
1985,"Kundera, Milan",The Unbearable Being of Lightness,
1925,"Laertius, Diogenes",The Loeb Classical Library [185]: Lives of Eminent Philosophers II,
1925,"Laertius, Diogenes",The Loeb Classical Library [184]: Lives of Eminent Philosophers I,
1877,"Lamb, Charles",The Essays of Elia,
1903,"Lamb, Charles & Mary",Tales from Shakespeare,
1910,"Lankester, Sir Ray",Science From an Easy Chair,
1966,"Lasch, Christopher",The New Radicalism in America (1889-1963),
1982,"Lawrence, D. H.",Sons and Lovers; St. Mawr; The Fox; White Peacock; Love Among the Haystacks; Virgin and the Gipsy; Lady Chatterley's Lover,
2004,"Lee, Harper",To Kill A Mockingbird,
1963,"Lenin, Vladimir",What is to be Done?,
1966,"Leopardi, Giacomo",Selected Prose and Poetry,
1941,"Lewis, C. Day; Strong, L. A. G (Ed.)",A New Anthology of Modern Verse (1920-1940),
1981,"Lewis, Russell",Margaret Thatcher,
1969,"Lewis, Wyndham",Wyndham Lewis: an anthology of his prose,
1975,"Liedloff, Jean",The Continuum Concept,
1947,"Lindsay, A. D.",Karl Marx's Capital: An Introductory Essay,
1970,"Lindsey, Hal",The Late Great Planet Earth,
1960,Livy,The Early History of Rome,
2014,"Locke, John",An Essay Concerning Human Understanding,
1999,"Logevall, Fredrik",Choosing War,
1904,"Longfellow, Henry Wadsworth",The Poetical Works of Longfellow,
1980,"Lorca, Federico Garcia",Deep Song and Other Prose,
1953,"Lorenz, Konrad Z.",King Solomon's Ring,
1931,"Lucas, John Saint (Selected by)",The Oxford Book of French Verse (xiiith century to xxth century),
1966,"Mabie, Hamilton H.; Ocvirk, Fred W.",Mechanisms and Dynamics of Machinery,
1886,"Macaulay, Lord",Biographies of Lord Macaulay (Francis Atterbury; John Bunyan; Oliver Goldsmith; Samuel Johnson; William Pitt),
1907,"Macaulay, Thomas Babington","Lord Macaulay's Essays (on Milton, Machiavelli, Jews, Byron, Boswell, Horace Walpole, William Pitt, Bacon, Claddstone, Holland, Addison, Frederic the Great, etc.) and Lays of Ancient Rome",
1900,"MacFarlane, Charles",Napoleon Bonaparte,
1970,"Machiavelli, Niccolò",The Discourses,
1972,"Machiavelli, Niccolò",The Prince; Discourses on the First Decade of Titus Livius; The History of Florence; Familiar Letters,
1917,"Mackey, Albert G.","Encyclopedia of Freemasonry and Its Kindred Sciences comprising the Whole Range of Arts, Sciences, and LIterature as Connected with the Institution",
