Date,Author,Title,Link
1930,"Nabokov, Vladimir",The Eye,
1932,"Nabokov, Vladimir",Laughter in the dark,
1938,"Nabokov, Vladimir",The Gift,
1947,"Nabokov, Vladimir",Bend Sinister,
1955,"Nabokov, Vladimir",Lolita,
1962,"Nabokov, Vladimir",Pale Fire,
1968,"Nabokov, Vladimir",Ada or Ardor: A Family Chronicle,
1972,"Nabokov, Vladimir",Transparent Things,
1974,"Nabokov, Vladimir",Look at The Harlequins!,
1979,"Nabokov, Vladimir","Lolita, The Gift, Invitation to a Beheading, King Queen Knave, Glory",
1981,"Nabokov, Vladimir",Lectures on Russian Literature,
1986,"Nabokov, Vladimir",The Enchanter,
1935–1936,"Nabokov, Vladimir",Invitation to a Beheading,
1891,"Nicoll, W. Robertson (ed.); Plummer, Alfred",The Expositor's Bible; The General Epistles of St. James and St. Jude,
1966,"Nietzsche, Friedrich (Kaufmann, Walter)",Basic Writings of Nietzsche,
1972,"Nietzsche, Friedrich (Kaufmann, Walter)","The Portable Nietzsche: Twilight of the Idols, The Antichrist, Nietzsche Contra Wagner, Thus Spoke Zarathrustra",
1881,"Nietzsche, Friedrich Wilhelm",Daybreak,
1901,"Nietzsche, Friedrich Wilhelm",Complete Works,
1954,"Nietzsche, Friedrich Wilhelm",The Portable Nietzsche,
1997,"Nietzsche, Friedrich Wilhelm",Thus Spake Zarathustra,
2005,"Nietzsche, Friedrich Wilhelm",Will to Power (Kaufmann),
2008,"Nietzsche, Friedrich Wilhelm","Human, All Too Human; Beyond Good and Evil",
1874,"Nietzsche, Friedrich Wilhelm",Untimely Meditations,
1888,"Nietzsche, Friedrich Wilhelm","Anti-Christ, Ecce home, Twilight of the Idols",
1923,"Ogden, C. K.; Richards, I. A.",The Meaning of Meaning: a Study of the Influence of Language upon Thought and of the Science of Symbolism,
1997,"Oliver, Mary",West Wind: Poems and Prose Poems,
1950,"Orpen, Sir William (Ed.)",The Outline of Art,
1963,"Orwell, George",The Road to Wigan Pier,
1970,"Orwell, George",Nineteen Eighty-Four,
2005,"Packer, George",The Assassin's Gate: America in Iraq,
1990,"Paglia, Camille",Sexual Personae,
1992,"Paglia, Camille","Sex, Art, and American Culture",
1970,"Paine, Tom",The Rights of Man and Other Writings,
1877,"Palgrave, Fancris Turner",The Golden Treasury of the Best Song and Lyrical Poems in the English Language,
1998,"Panksepp, Jaak",Affective neuroscience,
1897,"Pater, Walter",Appreciations with an Essay on Style,
1887,"Pater, Walter",An Imaginary Portrait,
1964,"Pearson, E. Norman","Space, Time, and Self",
2008,"Perec, Georges",Species of Spaces and Other Pieces,
1999,"Peterson, Jordan B.",Maps of Meaning,
2018,"Peterson, Jordan B.",12 Rules For Life: An Antidote to Chaos,
2021,"Peterson, Jordan B.",Beyond Order: 12 More Rules for Life,
1943,"Pevsner, Nikolaus",An Outline of European Architecture,
1904,"Phillips, Stephen",Poems,
1951,"Pink, Alderton M.",Points of View: A selection of Provocative Prose,
2018,"Pinker, Steven","Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",
1892,"Pitt, George",Miscellaneous Pieces,
1941,Plato,The Republic of Plato,
1956,Plato,The Republic; Apology; Crito; Phaedo; Ion; Meno; Symposium,
77 CE,Pliny,Natural History,
1517,Plotinus,The Enneads,
1952,Plotinus,Great Books of the Western World [15]: The Six Enneads,
1833,Plutarch,Plutarch's lives in eleven volumes,
1859,Plutarch,Plutarch's Lives: The Dryden Plutarch Revised by Arthur Hugh Clough: I  (Theseus; Romulus; Lycurgus; Numa Pompilius; Solon; Poplicola; Themistocles; Camillus; Pericles; Fabius; Alcibiades; Coriolanus; Timoleon; Aemilius Paulus; Pelopidas; Marcellus; Aristides; Marcus Cato),
1860,Plutarch,Plutarch's Lives: The Dryden Plutarch Revised by Arthur Hugh Clough: II (Philopoemen; Flaminius; Pyrrhus; Caius Marius; Lysander; Sylla; Cimon; Lucullus; Nicias; Crassus; Sertorius; Eumenes; Agesilaus; Pompey; Alexander; Caesar),
1860,Plutarch,Plutarch's Lives: The Dryden Plutarch Revised by Arthur Hugh Clough: III (Phocion; Cato the Younger; Agis; Cleomenes; Tiberius Gracchus; Caius Gracchus; Demosthenes; Cicero; Demetrius; Antony; Dion; Marcus Brutus; Aratus; Artaxerxes; Galba; Otho),
1927,"Poe, Edgar Allen",The Works of Edgar Allen Poe,
1969,"Poe, Edgar Allen",Selected Tales ( Fall of the House of Usher; Murders in the Rue Morgue; Mystery of Marie; MS. Found ; Berenice; Unparalleled Adventure; Descent into Maelstrom; Masque of Red Death; Pit and Pendulum; Tell-tale Heart; Gold-bug; Cask of Amontillado),
1995,"Pope, Alexander",The Works of Alexander Pope,
1977,"Popper, Karl R.",The Logic of Scientific Discovery,
1994,"Porter, Eleanor, H.",Pollyanna,
1984,"Pospielovsky, Dimitry",The Russian Church under the Soviet Regime,
1987,"Pospielovsky, Dimitry",A history of Soviet athieism in theory and practice,
1923,"Pritchard, F. H. (Selected by)",Essays of To-Day: Anthology,
2003,"Proust, Marcel",In Search of Lost Time VI: Time Regained,
2003,"Proust, Marcel",In Search of Lost Time V: The Captive Fugitive,
2003,"Proust, Marcel",In Search of Lost Time IV: Sodom and Gomorrah,
2003,"Proust, Marcel",In Search of Lost Time III: The Guermantes Way,
2003,"Proust, Marcel",In Search of Lost Time II: Within A Budding Grove,
2003,"Proust, Marcel",In Search of Lost Time I: Swann's Way,
1919,"Pushkin, Alexander",Eugene Onegin,
1925,"Pushkin, Gogol, Lermontov, Turgenev, Dostoevsky, Garshin, Chekhov, Gorky, Kuprin, Andreev (Selected by Chamot, A. E.)","Selected Russian Short Stories (Pushkin's Queen of Spades; Gogol's Christmas Eve; Lermontov's Tasman and Ashik-Kerib; Turgenev's Asya; Dostoevsky's A Nasty Story; Garshin's Signal, Red Flower; Chekhov's An Awkward Situation and Thieves; Peshkov's In the Steppes and The Khan and his Son; Kuprin's Temptation; Andreev's The Lie and Silence)",
1963,"Pynchon, Thomas",V,
1973,"Pynchon, Thomas",Gravity's Rainbow,
1948,"Radhakrishnan, S",The Bhagavadgita,
1985,"Rand, Ayn",Atlas Shrugged,
2005,"Rapport, Michael",Nineteenth-Century Europe,
2004,"Reed, John",Ten Days that Shook the World,
1970,"Reich, Wilhelm",The Mass Psychology of Fascism,
1979,"Reynolds, David",In Command of History: Churchill fighting and writing in the Second World War,
1940,"Richards, J. M.",An Introduction to Modern Architecture,
2011,"Rilke, Rainer Maria",Letters to a Young Poet,
1961,"Roethke, Theodore",The Collected Poems of Theodore Roethke,
2004,"Roodenburg, Herman",The Eloquence of the Body,
2018,"Rooney, Sally",Normal people,
1979,"Rorty, Richard",Philosophy & the Mirror of Nature,
1982,"Rorty, Richard",Consequences of Pragmatism,
1998,"Rorty, Richard",Achieving Our Country,
1929,"Rose, John Holland",Life of Napoleon I,
1973,"Rousseau, Jean-Jacques",The Social Contract and Discourses,
1894,"Ruskin, John",The Eagle's Nest: Ten lectures on the relation of natural science to art,
1899,"Ruskin, John",Munera Pulveris: Six essays on the elements of political philosophy,
1919,"Ruskin, John",Sesame and Lilies; Ethics of the Dust,
1963,"Ruskin, John",The Seven Lamps of Architecture,
1929,"Russell, Bertrand",Marriage and morals,
1961,"Russell, Bertrand",The Basic Writings of Bertrand Russell,
1894,"Sabatier, Paul",Life of St. Francis of Assisi,
1964,"Sabersky, Rolf H.; Acosta, Allan J.",Fluid Flow in Fluid Mechanics,
1991,"Said, Edward W.","The World, the Text, and the Critic",
1931,"Sale, Charles (Chic)",The Specialist,
1979,"Salinger, J. D.",The Catcher in the Rye,
2015,Sappho,Come Close,
1970,"Sartre, Jean Paul",The Age of Reason,
1923,"Scholes, Percy A.",The Listener's History of Music,
1936,"Schopenhauer, Arthur",Philosophy of Arthur Schopenhauer,
1818,"Schopoenhauer, Arthur",The world as will and representation,
1893,"Schopoenhauer, Arthur",Essays of Schopenhauer,
2011,"Schoppa, R. Keith",Twentieth century China: a history in documents,
1996,"Schultz, Charles",Love Isn't Easy,
1942,"Schumpeter, Joseph A.","Capitalism, Socialism and Democracy",
1965,"Scott, Sir Walter",Ivanhoe,
1986,"Scruton, Roger",Sexual Desire,
1989,"Sethna, K. D.",Blake's Tyger: A Christological Interpretation,
1949,"Shakespeare, William","The Sonnets, and a Lover's Complaint",
2016,"Shakespeare, William",Is this a dagger which I see before me?,
1623,"Shakespeare, William",The Complete Works of Wiliam Shakespeare,
1623,"Shakespeare, William",The Complete Works of Shakespeare,
1978,"Shalamov, Varlam",Kolyma tales,
1944,"Shaw, George Bernard",Everybody's Political What's What?,
1931,"Shaw, George Bernard",The Complete Plays of Bernard Shaw,
1990,"Shaw, Warren",Encyclopedia of the USSR: 1905 to present,
1944,"Shelley, Percy Bysshe","Plays, Translations, and Longer Poems",
1905,"Shelley, Percy Bysshe (Ed. by Thomas Hutchinson)",The Complete Poetical Works of Percy Bysshe Shelley,
1981,"Shirer, William L.",The Rise and Fall of the Third Reich,
1896,"Sienkiewicz, Henryk",Quo Vadis?,
1977,"Silko, Leslie Marmon",Ceremony,
1974,"Simon, Gerhard","Church, state and opposition in the USSR",
1963,"Skeat, Rev. Walter W.",An Etymological Dictionary of the English Language,
1920,"Smellie, Alexander",The Well by the Way,
2012,"Smith, Adam",Wealth of Nations,
1927,"Smith, Sir George Adam; Bevan E.; Burkitt, F. C... Edited by Bevan, E. R. and Singer, C.",The Legacy of Israel,
1867,"Smith, William W.",A Complete Etymology of the English Language,
1957,"Smyth, W. M. (Selected by)","Poems of Spirit and Action (Nash, Carroll, Eliot, Glover, Longfellow...)",
1915,"Solovyov, Vladimir Sergeyevich","War progress, and the end of history",
1945,"Solovyov, Vladimir Sergeyevich",The Meaning of Love,
1996,"Solovyov, Vladimir Sergeyevich",The Crisis of Western Philosophy,
2009,"Solovyov, Vladimir Sergeyevich",Divine Sophia,
1963,"Solzhenitsyn, Alexander",One Day in the Life of Ivan Denisovich,
1974,"Solzhenitsyn, Alexander",The Gulag Archipelago,
1974,"Solzhenitsyn, Alexander Isayevich",Solzhenitsyn: A Documentary Record,
1974,Sophocles,The Theban Plays (King Oedipus; Oedipus at Colonus; Antigone),
1871,"Southgate, Henry","Noble Thoughts in Noble Language Being a Treasury of Reference, consisting of Selections from the Known Great and the Great Unknown, from the Earliest to the Present Time",
1918,"Spengler, Oswald",Decline of the West,
1962,"Spengler, Oswald",The Decline of the West (abridged; ed. by Helmut Werner),
1970,"Spenser, Edmund",Selected Poetry (from the Shepherds' Calendar; from Amoretti; Epithalamion; From the Faerie Queene),
1912,"Spicer, W. A.",Our Day in the Light of Prophecy and Providence,
1965,"Spiegl, Fritz",What the Papers didn't mean to say,
1677,"Spinoza, Benedictus de",Ethics,
1987,"Spivak, Gayatri Chakravorty",In Other Worlds: Essays in Cultural Politics,
1951,"Steinbeck, John",The Grapes of Wrath,
1979,"Steinbeck, John",Tortilla Flat; The Red Pony; Of Mice and Men; The Moon is Down; Cannery Row; The Pearl,
2018,"Steinbeck, John",Diario Russo,
1969,Stendhal,The Red and The Black,
1910,"Stephen, Leslie",English Literature and Society in the XVIII Century,
1947,"Sterne, Laurence",The Life & Opinios of Tristam Shandy Gentleman,
1954,"Stevens, Wallace",Collected poems of Wallace Stevens,
1954,"Stevens, Wallace",Selected poems,
1957,"Stevens, Wallace",Opus posthumous,
1885,"Stevenson, R. L.",A Child's Garden of Verses,
1907,"Stevenson, R. L.",The Pocket R. L. S.: Being favourite passages from works of Stevenson,
1895,"Stevenson, R. Louis",Virginibus Puerisque and other papers,
1906,"Stevenson, Robert Louis",Familiar Studies of Men and Books,
2006,"Stevenson, Robert Louis",Strange Case of Dr Jekyll and Mr Hyde and Other Tales,
1852,"Stowe, Harriet Beecher",Uncle Tom's Cabin,
2007,"Strassler, Robert B.",The Landmark Herodotus: The Histories,
2009,"Strassler, Robert B.",The Landmark Xenophon's Hellenika,
2010,"Strassler, Robert B.",The Landmark Arrian: The Campaigns of Alexander,
2017,"Strassler, Robert B.","The Landmark Julius Caesar: The Complete Works (Gallic War, Civil War, Alexandrian War, African War, Spanish War)",
2018,"Stuttard, David",Nemesis: Alcibiades and the Fall of Athens,
1957,Suetonius,"The Twelve Caesars  (Caesar, Augustus, Tiberius, Gaius Caligula, Claudius, Nero, Galba, Otho, Vitellius, Vespasian, Titus, Domitian)",
1951,"Sullivan, J. W. N.",Beethoven,
2003,"Suny, Ronald Grigor",The structure of Soviet history: essays and...,
2011,"Suny, Ronald Grigor","The Soviet Experiment: Russia, The USSR, and the Successor States",
1988,"Suskind, Patrick",The Pigeon,
1764,"Swedenborg, Emanuel",Angelic wisdom concering the divine providence,
1966,"Swift, Jonathan",Gulliver's Travels,
1924,"Swinburne, Algernon Charles",Swinburne's Collected Poetical Works: Volume I,
1905,"Symons, Arthur",Cities,
1957,"Taviani, Paolo Emilio",Solidarietà Atlantica e Comunità Europea,
1945,"Taylor, F. Sherwood",The World of Science,
1952,"Thomas, Dylan",The Poems,
1975,"Thomas, Dylan",Under Milk Wood,
1946,"Thomas, Henry; Thomas, Dana Lee","Living Biographies of Great Philosophers (Plato, including Socrates; Aristotle; Epicurus; Aquinas; Francis Bacon; Descartes; Spinoza;  Locke; Hume; Voltaire; Kant; Hegel; Schopenhauer; Emerson; Spencer; Nietzsche; William James; Bergson; Santayana)",
1913,"Thomas, Lewis",The Medusa and the Snail,
1974,"Thomas, Lewis",Lives of A Cell,
1980,"Thomas, Lewis",Late Night Thoughts on Listening to Mahler's Ninth Symphony,
1985,"Thomas, Lewis",The Youngest Science,
1990,"Thomas, Lewis","Et Cetera, Et Cetera: Notes of a Word-Watcher",
1957,"Thomson, Lucy Gertsch (Compiled by)",Somewhere I've read...,
1965,"Thoreau, Henry David",Walden and Civil Disobedience,
1970,"Thoreau, Henry David",Walden,
1904,"Tolstoy, Leo","Fables, tales and stories",
1911,"Tolstoy, Leo",Essays and Letters,
1912,"Tolstoy, Leo",Anna Karenina (tr. Rochelle S. Townsend) Vol. I,
1948,"Tolstoy, Leo",The living thoughts of Tolstoi,
1986,"Tolstoy, Leo",Anna Karenina (tr. Rochelle S. Townsend) Vol. II,
1966,"Tolstoy, Lev",Resurrection,
1968,"Tolstoy, Lev","Childhood, Boyhood, Youth",
2004,"Tolstoy, Lev",Great Short Works,
1958,"Toynbee, Arnold",East to West,
1949,"Toynbee, Arnold J.",A Study of History: Abridgement of Volumes I-VI by Somervell,
1908,"Trench, Richard Chenevix",On the study of words,
1862,"Turgenev, Ivan S.",Fathers and Sons,
1909,"Twain, Mark",Is Shakespeare dead?,
2017,"Twain, Mark",Following the Equator,
1880,"Twain, Mark",A Tramp Abroad,
1938,"Vallance, Rosalind",A Hundred English Essays,
1963,Vatsyayana; Plato,The Kama Sutra of Vatsyayana; The Phaedrus,
1969,"Verne, Jules",Twenty Thousand Leagues Under the Sea,
1912,"Verney, Margaret M.",Bucks Biogrpahies,
1900,Virgil,Aeneid,
1969,Voltaire,"Candide and Other Tales (Zadig, Micromegas, Master Simple, Princess of Babylon)",
Old,"Walton, Izaak & Cotton, Charles",The Compleat Angler or The Contemplative Man's Recreation: Being a Discourse of Fish and Fishing not unworthy the Perusal of most Anglers,
2007,"Wanner, Catherine",Communities of the converted,
2011,"Weinberg, Robert",Revolutionary Russia: a history in documents,
1912,"Wells, H. G.",Marriage,
1927,"Wells, H. G.",The Passionate Friends,
1933,"Wells, H. G.",The Open Conspiracy and Other Writings,
1905,"Welsh, R. E.",Man to Man,
1938,"Wheeler, Harold (Ed.)",The Miracle of Life,
1930s,"Wheeler, Harold F. B. (Ed.)",The Book of Knowledge: Volume I (A -- BOA),
1930s,"Wheeler, Harold F. B. (Ed.)",The Book of Knowledge: Volume III (COO -- FLO),
1930s,"Wheeler, Harold F. B. (Ed.)",The Book of Knowledge: Volume IV (FLO -- ISIS),
1930s,"Wheeler, Harold F. B. (Ed.)",The Book of Knowledge: Volume V (ita -- nav),
1930s,"Wheeler, Harold F. B. (Ed.)",The Book of Knowledge: Volume VI (nav -- sca,
1930s,"Wheeler, Harold F. B. (Ed.)",The Book of Knowledge: Volume VII (SCA -- zwi),
1930s,"Wheeler, Harold F. B. (Ed.)",The Book of Knowledge: Volume VIII (Fact Index & Study Outlines),
2010,"Whitman, Walt",The Portable Walt Whitman,
1855,"Whitman, Walt",Leaves of Grass and Selected Prose,
1918,"Whittier, John Greenleaf",Selected Poems of John Greenleaf Whittier,
2010,"Wieviorka, Olivier",Normandy,
1985,"Wilde, Oscar",The Picture of Dorian Gray,
1991,"Wilde, Oscar",Picture of Dorian Grey; Complete Short Stories; Importance of Being Earnest and Other Plays,
2003,"Wilde, Oscar",The Importance of Being Earnest,
1907,"Wilde, Oscar",Epigrams of Oscar Wilde,
1891,"Wilde, Oscar","De Profundis, The Ballad of Reading Gaol, The Decay of Lying, The Critic as Artist; The Soul of Man under Socialism;",
1927,"Williams, C (Selected by)",A Book of Victorian Narrative Verse,
1989,"Williams, Peter",Unit 731: Japan's secret biological warfare,
2002,"Wilson, David Sloan",Darwin's Cathedral,
1767,"Winkfield, Unca Eliza",The Female American [Anonymous],
1921,"Wittgenstein, Ludwig",Tractatus Logico-Philosophicus,
1967,"Wolfe, Tom",The Electric Kool-Aid Acid Test,
1957,"Wood, H. J.",Exploration and Discovery,
1945,"Wood, Henry; Foss, Hubert",About Conducting,
1866,"Wood, J. G. (Rev)","Homes Without Hands: Being a Description of the Habitations of Animals, Classed According to Their Principle of Construction",
1992,"Woolf, Virginia",To the Lighthouse,
1992,"Woolf, Virginia",Mrs Dalloway,
1959,"Wordsworth, William",The Prelude or Growth of a Poet's Mind,
1904,"Wordsworth, William (Ed. by Hutchinson, Thomas)",The Poetical Works of Wordsworth,
1900,"Wynne, Gladys",Architecture,
2010,Xenophone,A history of my times (Hellenica),
1994,"Yeats, William Butler",The Collected Poems of W. B. Yeats,
2007,"Zimbardo, Philip G.",The Lucifer Effect,
